file_path,class_name,method_name,start_line,end_line,is_vulnerability,vulnerability_description,remediation
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeCommand01,48,51,true,直接拼接用户输入到命令字符串中,使用ProcessBuilder并单独指定每个参数，避免使用shell解释器
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithSystemProperty02,64,67,true,将用户输入与系统属性拼接形成命令,使用命令白名单或使用ProcessBuilder避免shell注入
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeArrayWithInjection03,82,85,true,虽然使用数组方式，但命令中包含shell特殊字符,避免在命令参数中包含shell解释的特殊字符
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaService04,99,101,true,通过依赖注入的Service执行未经验证的命令,在Service层实现命令验证逻辑
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaAspect05,115,118,true,通过AOP切面执行未经验证的命令,在AOP切面中实现命令验证逻辑
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithProcessBuilder06,131,134,true,使用ProcessBuilder但仍将用户输入拼接到命令中,使用ProcessBuilder的command方法分别添加每个参数
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithConfigPrefix07,147,159,true,从配置中读取命令前缀后仍将用户输入直接拼接,使用白名单验证完整命令，不仅仅是前缀
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaUtils08,173,175,true,通过工具类执行未经验证的命令,在工具类中实现命令验证逻辑
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithMultipleParams09,188,192,true,使用多个用户参数构建命令字符串,使用ProcessBuilder并对每个参数单独验证
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,fileOperationWithCommand10,205,208,true,使用命令执行文件操作而不是使用API,使用Java文件API代替命令行执行文件操作
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeCommandSafe01,222,226,false,使用ProcessBuilder安全执行命令,已采用安全实现，使用ProcessBuilder并分别指定每个参数
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithWhitelistSafe02,233,243,false,使用命令白名单限制可执行的命令,已采用安全实现，使用白名单验证完整命令
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeArraySafe03,250,254,false,安全使用Runtime.exec数组形式,已采用安全实现，使用数组形式并分别指定每个参数
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaServiceSafe04,261,263,false,通过依赖注入的Service安全执行命令,已采用安全实现，在Service中验证命令
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaAspectSafe05,270,273,false,通过AOP切面安全执行命令,已采用安全实现，使用切面的安全方法执行命令
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithProcessBuilderSafe06,280,302,false,使用ProcessBuilder添加参数方式,已采用安全实现，验证参数不包含特殊字符并使用directory设置工作目录
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithFullValidation07,309,329,false,从配置文件读取并完全验证命令,已采用安全实现，验证命令前缀在白名单中并验证参数不包含危险字符
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeViaUtilsSafe08,336,338,false,使用工具类安全执行命令,已采用安全实现，在工具类中验证命令
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,executeWithJavaApiSafe09,345,360,false,使用Java API替代命令行,已采用安全实现，使用Java文件API实现功能并验证路径安全性
src/main/java/edu/thu/benchmark/annotated/controller/CommandInjectionController.java,CommandInjectionController,fileOperationWithApiSafe10,367,380,false,使用安全的文件API替代命令行,已采用安全实现，使用Java文件API读取文件并验证路径安全性
